"ID","Intent","Question_Text","Follow_Up","Expected_Answers","Next_Step_Yes","Next_Step_No"
"1","General","Hi! I’m here to help you explore your skills and interests. Ready to start?",,"[""Yes"",""No""]","2","0"
"2","Interest Identification","What’s something you really enjoy doing in your free time?","Can you share why you enjoy it?","[""Sports"",""Reading"",""Art"",""Music"",""Other""]","3","0"
"3","Interest Identification","Do you prefer working with people, technology, or ideas?","Why do you feel this suits you best?","[""People"",""Technology"",""Ideas""]","4","0"
"4","Skill Discovery","Have you ever been told you’re good at something? If so, what is it?","How did you discover this skill?","[""Yes""]","5","6"
"5","Skill Discovery","Do you enjoy learning new skills or improving the ones you already have?","What motivates you to learn?","[""Yes""]","6","8"
"6","Value Identification","What’s more important to you: creativity, logic, or helping others?","Why do you value this most?","[""Creativity"",""Logic"",""Helping others""]","7","0"
"7","Goal Setting","Do you have any goals for your future? If yes, can you describe one?","What inspired this goal?","[""Yes""]","8","9"
"8","Activity Preference","Do you prefer working on long-term projects or short, quick tasks?","What do you like about that?","[""Long-term projects"",""Short tasks""]","10","0"
"9","Personal Reflection","If you could choose any job without thinking about money, what would it be?","What excites you about this job?","[""Free text""]","10","0"
"10","Interest Expansion","Would you like to explore careers related to your interests or try something completely new?","What draws you to this choice?","[""Related to interests"",""Something new""]","11","0"
"11","Learning Style","How do you prefer to learn new things?","What methods have worked best for you in the past?","[""Reading"",""Watching videos"",""Hands-on experience"",""Listening to others""]","12","0"
"12","Learning Style","Do you like working on your own or in groups?","Why do you think that works best for you?","[""Alone"",""In groups""]","13","0"
"13","Learning Style","Do you prefer structured learning or more flexible, self-paced learning?","Why do you prefer this approach?","[""Structured"",""Flexible""]","14","0"
"14","Personality","Do you enjoy fast-paced environments, or do you prefer working at your own pace?","Why does this type of environment appeal to you?","[""Fast-paced"",""Steady pace"",""Both""]","15","0"
"15","Personality","Would you describe yourself as more introverted or extroverted?","How do you think this affects your work preferences?","[""Introverted"",""Extroverted"",""Both""]","16","0"
"16","Work Environment","Do you thrive in a competitive or collaborative work environment?","What makes this type of environment comfortable for you?","[""Competitive"",""Collaborative""]","17","0"
"17","Career Exploration","Have you explored different career paths before, or is this your first time thinking about it?","What motivated you to start exploring?","[""Yes""]","18","19"
"18","Career Exploration","Are you interested in exploring careers that are in high demand or ones that allow for creativity and flexibility?","Why does this option appeal to you?","[""High demand"",""Creative & flexible""]","19","0"
"19","Career Exploration","Would you prefer a job that requires formal education or one where you can learn through experience?","Why do you lean toward this?","[""Formal education"",""Learning through experience""]","20","0"
"20","Strengths","What would you say is your greatest strength?","Can you think of a recent example where you demonstrated this strength?","[""Problem-solving"",""Creativity"",""Communication"",""Technical skills"",""Other""]","21","0"
"21","Challenges","What is something you find difficult or challenging in your work or studies?","How do you typically overcome this?","[""Time management"",""Motivation"",""Procrastination"",""Technical difficulties"",""Other""]","22","0"
"22","Challenges","Do you feel more motivated by a challenge or prefer more straightforward tasks?","Why do you think that is?","[""Challenge"",""Straightforward""]","23","0"
"23","Lifestyle","Do you want a career that offers work-life balance or are you more focused on career growth?","Why do you want this balance?","[""Work-life balance"",""Career growth"",""Both""]","24","0"
"24","Goals","Do you see yourself staying in one job for a long time, or are you looking for variety?","What excites you about that?","[""Long-term stability"",""Variety""]","25","0"
"25","Goals","What kind of impact do you want your work to have on the world or society?","Why is this important to you?","[""Positive change"",""Financial success"",""Personal growth"",""Other""]","26","0"
"26","Values","Do you value financial security over job satisfaction or the other way around?","Why is this important to you?","[""Financial security"",""Job satisfaction"",""Both""]","27","0"
"27","Values","Would you prefer a job that aligns with your personal values and purpose or one that offers greater opportunities for success?","What drives this choice?","[""Personal values"",""Career success""]","28","0"
"28","Purpose","Do you see your work as a means to an end, or do you want it to reflect your passion and purpose?","How do you envision that?","[""Means to an end"",""Passion & purpose""]","29","0"
"29","Flexibility","Would you prefer a job with flexible working hours or one that is more traditional?","Why does this work better for you?","[""Flexible hours"",""Traditional hours""]","30","0"
"30","Location","Do you want to work remotely, in an office, or have a mix of both?","What appeals to you about this option?","[""Remote"",""Office"",""Hybrid""]","0","0"
